STA1 CMP1 STA2 CMP2 deltachi deltaCC Lat Lon
GMB1 HHN GMB1 CXY 0.039176 -0.251798 38.172300 15.817900
GMB1 HHZ GMB1 CXZ 0.036691 -0.418434 38.172300 15.817900
GRIS EHE GRIS CXX -0.006877 0.142825 39.740500 15.853100
GRIS EHN GRIS CXY -0.143273 0.251619 39.740500 15.853100
GRIS EHZ GRIS CXZ -0.030105 -0.209482 39.740500 15.853100
LADO EHE LADO CXX 0.482688 -0.181267 39.283980 16.979490
LADO EHN LADO CXY 0.057870 0.057165 39.283980 16.979490
LADO EHZ LADO CXZ 0.352359 -0.414406 39.283980 16.979490
LAICA HHE LAICA CXX 0.277361 -0.038266 39.948480 15.975050
LAICA HHN LAICA CXY 0.220326 -0.049935 39.948480 15.975050
LAICA HHZ LAICA CXZ -0.047391 -0.194025 39.948480 15.975050
LARA HHE LARA CXX -0.023029 -0.090256 39.275660 16.242920
LARA HHN LARA CXY -0.052571 -0.263231 39.275660 16.242920
LARA HHZ LARA CXZ 0.094233 -0.192803 39.275660 16.242920
LATT HHE LATT CXX -0.074198 0.234023 39.441840 16.229800
LATT HHN LATT CXY -0.247834 -0.058915 39.441840 16.229800
LATT HHZ LATT CXZ 0.086559 -0.087686 39.441840 16.229800
MCDA HHE MCDA CXX 0.228584 -0.316629 39.021600 16.840270
MCDA HHN MCDA CXY 0.208316 -0.180205 39.021600 16.840270
MCDA HHZ MCDA CXZ 0.077012 -0.372887 39.021600 16.840270
MMN HHE MMN CXX 0.316687 -0.244405 39.890830 15.990600
MMN HHN MMN CXY 0.004216 -0.013430 39.890830 15.990600
MMN HHZ MMN CXZ 0.010654 -0.194222 39.890830 15.990600
MOKA HHE MOKA CXX 0.387504 -0.279417 39.885720 16.150740
MOKA HHN MOKA CXY 0.119341 -0.111168 39.885720 16.150740
MOKA HHZ MOKA CXZ 0.106899 -0.295998 39.885720 16.150740
MPAZ HHE MPAZ CXX 0.183913 -0.368772 37.953100 16.006700
MPAZ HHN MPAZ CXY 0.138870 -0.372033 37.953100 16.006700
MPAZ HHZ MPAZ CXZ 0.127725 -0.313405 37.953100 16.006700
OPPI HHE OPPI CXX 0.140293 -0.191797 38.267540 16.010050
OPPI HHN OPPI CXY 0.171543 -0.235613 38.267540 16.010050
OPPI HHZ OPPI CXZ 0.172361 -0.335561 38.267540 16.010050
PIPA HHE PIPA CXX 0.439503 -0.222615 39.485140 16.815800
PIPA HHN PIPA CXY -0.138653 -0.117864 39.485140 16.815800
PIPA HHZ PIPA CXZ 0.164116 -0.418192 39.485140 16.815800
PLAC HHE PLAC CXX 0.227010 -0.090644 38.449400 16.438300
PLAC HHN PLAC CXY 0.049806 -0.363830 38.449400 16.438300
PLAC HHZ PLAC CXZ 0.044088 -0.309327 38.449400 16.438300
RICA HHE RICA CXX 0.140111 -0.326445 38.624030 15.860150
RICA HHN RICA CXY 0.144175 -0.133969 38.624030 15.860150
RICA HHZ RICA CXZ 0.224414 -0.196838 38.624030 15.860150
ROI HHE ROI CXX 0.406685 -0.336466 39.571780 16.569220
ROI HHN ROI CXY 0.067576 0.315245 39.571780 16.569220
ROI HHZ ROI CXZ 0.309126 -0.437148 39.571780 16.569220
SALB HHE SALB CXX 0.135141 -0.201387 39.877200 16.345900
SALB HHN SALB CXY 0.144526 0.035563 39.877200 16.345900
SALB HHZ SALB CXZ 0.306076 -0.371419 39.877200 16.345900
SCAI HHE SCAI CXX 0.320848 0.004949 38.534290 16.517730
SCAI HHN SCAI CXY 0.184765 0.101967 38.534290 16.517730
SCAI HHZ SCAI CXZ 0.164319 -0.388898 38.534290 16.517730
SELL HHE SELL CXX 0.274639 -0.263009 38.983000 16.627900
SELL HHN SELL CXY 0.190702 -0.200007 38.983000 16.627900
SELL HHZ SELL CXZ 0.307267 -0.458885 38.983000 16.627900
SERS HHE SERS CXX 0.144943 -0.283748 39.035900 16.688600
SERS HHN SERS CXY 0.355314 -0.280823 39.035900 16.688600
SERS HHZ SERS CXZ 0.030729 -0.402190 39.035900 16.688600
SHEVA HHE SHEVA CXX 0.244352 -0.282005 39.815300 16.167730
SHEVA HHN SHEVA CXY -0.014587 -0.154487 39.815300 16.167730
SHEVA HHZ SHEVA CXZ 0.057509 -0.323202 39.815300 16.167730
SOI HHE SOI CXX 0.173198 -0.259455 38.073230 16.054240
SOI HHN SOI CXY -0.024343 -0.193711 38.073230 16.054240
SOI HHZ SOI CXZ 0.086927 -0.307505 38.073230 16.054240
SPDC HHE SPDC CXX 0.209715 -0.197514 38.526310 16.132160
SPDC HHN SPDC CXY 0.155010 -0.084442 38.526310 16.132160
SPDC HHZ SPDC CXZ 0.167206 -0.387718 38.526310 16.132160
SPS2 HHE SPS2 CXX -0.053703 0.077161 39.294090 16.337870
SPS2 HHN SPS2 CXY 0.020616 -0.341035 39.294090 16.337870
SPS2 HHZ SPS2 CXZ -0.024277 -0.105920 39.294090 16.337870
TNOVA HHE TNOVA CXX 0.291814 -0.000987 39.974700 16.261100
TNOVA HHN TNOVA CXY 0.003731 0.361318 39.974700 16.261100
TNOVA HHZ TNOVA CXZ 0.265311 -0.371116 39.974700 16.261100
UC01 HHE UC01 CXX 0.107583 -0.069956 38.777250 16.270130
UC01 HHN UC01 CXY 0.037895 -0.140200 38.777250 16.270130
UC01 HHZ UC01 CXZ 0.240797 -0.299285 38.777250 16.270130
ZIDIL HHE ZIDIL CXX 0.170202 -0.162792 39.782180 16.259630
ZIDIL HHN ZIDIL CXY -0.137851 -0.026188 39.782180 16.259630
ZIDIL HHZ ZIDIL CXZ 0.234692 -0.294556 39.782180 16.259630
