STA1 CMP1 STA2 CMP2 deltachi deltaCC Lat Lon
TNOVA HHE TNOVA CXX -0.100196 0.061371 39.974700 16.261100
TNOVA HHN TNOVA CXY 0.112118 0.016405 39.974700 16.261100
TNOVA HHZ TNOVA CXZ -0.269504 0.054786 39.974700 16.261100
UC01 HHE UC01 CXX 0.092367 -0.001636 38.777250 16.270130
UC01 HHN UC01 CXY 0.177879 -0.166001 38.777250 16.270130
UC01 HHZ UC01 CXZ 0.062039 0.059619 38.777250 16.270130
VBL2 EHE VBL2 CXX 0.038994 0.034824 38.670730 16.108220
VBL2 EHN VBL2 CXY 0.024040 -0.014641 38.670730 16.108220
VBL2 EHZ VBL2 CXZ 0.037058 0.063578 38.670730 16.108220
ZIDIL HHE ZIDIL CXX -0.243757 0.139186 39.782180 16.259630
ZIDIL HHN ZIDIL CXY 0.100176 0.027346 39.782180 16.259630
ZIDIL HHZ ZIDIL CXZ -0.336944 0.076882 39.782180 16.259630
