STA1 CMP1 STA2 CMP2 deltachi deltaCC Lat Lon
CUC HHE CUC CXX -0.108870 0.177474 39.993800 15.815500
CUC HHN CUC CXY 0.045597 0.010934 39.993800 15.815500
CUC HHZ CUC CXZ -0.000393 0.050240 39.993800 15.815500
CUP2 EHE CUP2 CXX 0.034064 0.387582 39.383430 16.548190
CUP2 EHN CUP2 CXY 0.105243 0.085210 39.383430 16.548190
CUP2 EHZ CUP2 CXZ -0.010426 0.026535 39.383430 16.548190
CUTR HHE CUTR CXX 0.391526 0.177168 39.021830 17.073690
CUTR HHN CUTR CXY -0.004435 0.278832 39.021830 17.073690
CUTR HHZ CUTR CXZ -0.081590 -0.078148 39.021830 17.073690
FALC HHE FALC CXX -0.171145 0.532641 39.272070 16.079560
FALC HHN FALC CXY -0.121233 0.308870 39.272070 16.079560
FALC HHZ FALC CXZ -0.048118 0.209087 39.272070 16.079560
FRASC HHE FRASC CXX -0.159763 0.403619 39.838090 16.266290
FRASC HHN FRASC CXY 0.076467 -0.109969 39.838090 16.266290
FRASC HHZ FRASC CXZ -0.056790 0.075056 39.838090 16.266290
GERV EHE GERV CXX -0.037441 0.374740 39.295770 16.230950
GERV EHN GERV CXY 0.025575 0.172833 39.295770 16.230950
GERV EHZ GERV CXZ -0.043397 -0.107498 39.295770 16.230950
GIMI HHE GIMI CXX -0.208530 0.357757 38.967840 16.537510
GIMI HHN GIMI CXY 0.043470 -0.009276 38.967840 16.537510
GIMI HHZ GIMI CXZ -0.068026 0.321175 38.967840 16.537510
GIOM HHE GIOM CXX -0.121539 0.321451 38.386110 16.109910
GIOM HHN GIOM CXY 0.022675 0.199195 38.386110 16.109910
GIOM HHZ GIOM CXZ -0.003138 0.103590 38.386110 16.109910
GMB1 HHE GMB1 CXX 0.106142 0.015546 38.172300 15.817900
GMB1 HHN GMB1 CXY 0.030122 -0.044236 38.172300 15.817900
GMB1 HHZ GMB1 CXZ 0.080494 0.032034 38.172300 15.817900
GRIS EHE GRIS CXX 0.036637 0.373377 39.740500 15.853100
GRIS EHN GRIS CXY 0.057036 0.009869 39.740500 15.853100
GRIS EHZ GRIS CXZ -0.000388 0.164518 39.740500 15.853100
LADO EHE LADO CXX 0.293481 0.267425 39.283980 16.979490
LADO EHN LADO CXY -0.000554 0.118886 39.283980 16.979490
LADO EHZ LADO CXZ -0.290299 0.402786 39.283980 16.979490
LAICA HHE LAICA CXX -0.183258 0.372434 39.948480 15.975050
LAICA HHN LAICA CXY 0.048090 0.038448 39.948480 15.975050
LAICA HHZ LAICA CXZ -0.081569 0.140313 39.948480 15.975050
LARA HHE LARA CXX -0.218913 0.562048 39.275660 16.242920
LARA HHN LARA CXY -0.156247 0.293045 39.275660 16.242920
LARA HHZ LARA CXZ -0.158328 0.112129 39.275660 16.242920
LATT HHE LATT CXX -0.203573 0.438126 39.441840 16.229800
LATT HHN LATT CXY -0.147307 0.412169 39.441840 16.229800
LATT HHZ LATT CXZ -0.137904 0.251916 39.441840 16.229800
LC22 EHE LC22 CXX 0.059370 0.403006 39.936400 15.977900
LC22 EHN LC22 CXY 0.013818 0.171388 39.936400 15.977900
LC22 EHZ LC22 CXZ -0.006954 0.222814 39.936400 15.977900
MANE EHE MANE CXX -0.005086 0.511823 39.201810 16.337500
MANE EHN MANE CXY -0.106001 0.250661 39.201810 16.337500
MANE EHZ MANE CXZ -0.009489 0.057472 39.201810 16.337500
MCDA HHE MCDA CXX 0.141112 0.331801 39.021600 16.840270
MCDA HHN MCDA CXY 0.037640 0.088772 39.021600 16.840270
MCDA HHZ MCDA CXZ -0.090077 0.112353 39.021600 16.840270
MMN HHE MMN CXX -0.149112 0.263599 39.890830 15.990600
MMN HHN MMN CXY -0.044016 0.184522 39.890830 15.990600
MMN HHZ MMN CXZ -0.097716 0.146478 39.890830 15.990600
MOKA HHE MOKA CXX -0.232008 0.453348 39.885720 16.150740
MOKA HHN MOKA CXY 0.029340 0.024220 39.885720 16.150740
MOKA HHZ MOKA CXZ -0.050624 0.263858 39.885720 16.150740
MPAZ HHE MPAZ CXX 0.097886 0.125118 37.953100 16.006700
MPAZ HHN MPAZ CXY -0.007615 0.203670 37.953100 16.006700
MPAZ HHZ MPAZ CXZ 0.088682 0.118068 37.953100 16.006700
MUGA EHE MUGA CXX 0.022745 0.162166 38.517440 16.322260
MUGA EHN MUGA CXY 0.054595 0.381933 38.517440 16.322260
MUGA EHZ MUGA CXZ 0.047969 0.205189 38.517440 16.322260
NICCA EHE NICCA CXX -0.000007 0.376832 38.556940 15.938580
NICCA EHN NICCA CXY -0.000001 0.404789 38.556940 15.938580
NICCA EHZ NICCA CXZ -0.000006 0.162926 38.556940 15.938580
OPPI HHE OPPI CXX -0.067359 0.139905 38.267540 16.010050
OPPI HHN OPPI CXY -0.026741 0.127132 38.267540 16.010050
OPPI HHZ OPPI CXZ 0.035697 0.080943 38.267540 16.010050
PIPA HHE PIPA CXX -0.011744 0.497131 39.485140 16.815800
PIPA HHN PIPA CXY 0.054432 0.052832 39.485140 16.815800
PIPA HHZ PIPA CXZ -0.165386 0.375352 39.485140 16.815800
PLAC HHE PLAC CXX 0.140647 -0.149882 38.449400 16.438300
PLAC HHN PLAC CXY -0.124152 0.171994 38.449400 16.438300
PLAC HHZ PLAC CXZ 0.009771 0.306049 38.449400 16.438300
RICA HHE RICA CXX 0.134707 0.178374 38.624030 15.860150
RICA HHN RICA CXY 0.032988 0.176062 38.624030 15.860150
RICA HHZ RICA CXZ 0.117968 -0.035601 38.624030 15.860150
ROI HHE ROI CXX -0.303472 0.360402 39.571780 16.569220
ROI HHN ROI CXY -0.014650 0.097264 39.571780 16.569220
ROI HHZ ROI CXZ -0.065295 0.124530 39.571780 16.569220
SALB HHE SALB CXX -0.073467 0.270126 39.877200 16.345900
SALB HHN SALB CXY 0.165352 -0.093844 39.877200 16.345900
SALB HHZ SALB CXZ -0.060506 -0.137061 39.877200 16.345900
SCAI HHE SCAI CXX 0.245623 0.026657 38.534290 16.517730
SCAI HHN SCAI CXY -0.097995 0.188122 38.534290 16.517730
SCAI HHZ SCAI CXZ 0.034786 0.327643 38.534290 16.517730
SELL HHE SELL CXX -0.243250 0.222264 38.983000 16.627900
SELL HHN SELL CXY -0.108774 0.029012 38.983000 16.627900
SELL HHZ SELL CXZ -0.006424 0.367842 38.983000 16.627900
SERS HHE SERS CXX -0.152845 0.386300 39.035900 16.688600
SERS HHN SERS CXY 0.053380 0.100094 39.035900 16.688600
SERS HHZ SERS CXZ -0.046172 0.304004 39.035900 16.688600
SHEVA HHE SHEVA CXX -0.283454 0.472168 39.815300 16.167730
SHEVA HHN SHEVA CXY -0.082940 0.236451 39.815300 16.167730
SHEVA HHZ SHEVA CXZ -0.082905 0.078574 39.815300 16.167730
SICLA EHE SICLA CXX 0.020854 0.431292 38.256300 15.714500
SICLA EHN SICLA CXY 0.111427 0.531123 38.256300 15.714500
SICLA EHZ SICLA CXZ 0.008221 0.258343 38.256300 15.714500
SIMB EHE SIMB CXX 0.049710 0.173554 38.606720 16.321550
SIMB EHN SIMB CXY 0.028190 0.260170 38.606720 16.321550
SIMB EHZ SIMB CXZ -0.035785 0.269038 38.606720 16.321550
SMIN EHE SMIN CXX 0.096071 0.248146 38.972960 16.228260
SMIN EHN SMIN CXY 0.123500 -0.077632 38.972960 16.228260
SMIN EHZ SMIN CXZ -0.006383 0.126709 38.972960 16.228260
SOI HHE SOI CXX -0.068256 0.174030 38.073230 16.054240
SOI HHN SOI CXY -0.108432 0.317622 38.073230 16.054240
SOI HHZ SOI CXZ 0.099102 0.077424 38.073230 16.054240
SPDC HHE SPDC CXX -0.037968 0.153662 38.526310 16.132160
SPDC HHN SPDC CXY 0.087430 0.031291 38.526310 16.132160
SPDC HHZ SPDC CXZ 0.095566 0.157834 38.526310 16.132160
SPNT EHE SPNT CXX 0.057073 0.183369 39.156860 16.526570
SPNT EHN SPNT CXY 0.065347 0.211589 39.156860 16.526570
SPNT EHZ SPNT CXZ -0.016825 0.230443 39.156860 16.526570
SPS2 HHE SPS2 CXX -0.158183 0.544671 39.294090 16.337870
SPS2 HHN SPS2 CXY -0.174404 0.344360 39.294090 16.337870
SPS2 HHZ SPS2 CXZ -0.014533 0.235470 39.294090 16.337870
TNOVA HHE TNOVA CXX -0.325694 0.634656 39.974700 16.261100
TNOVA HHN TNOVA CXY 0.157063 -0.168521 39.974700 16.261100
TNOVA HHZ TNOVA CXZ -0.052836 -0.080558 39.974700 16.261100
UC01 HHE UC01 CXX -0.195919 0.325785 38.777250 16.270130
UC01 HHN UC01 CXY 0.021709 0.059206 38.777250 16.270130
UC01 HHZ UC01 CXZ 0.056869 0.105094 38.777250 16.270130
VBL2 EHE VBL2 CXX -0.004723 0.404901 38.670730 16.108220
VBL2 EHN VBL2 CXY 0.020708 0.296531 38.670730 16.108220
VBL2 EHZ VBL2 CXZ -0.001551 0.044329 38.670730 16.108220
ZIDIL HHE ZIDIL CXX -0.353610 0.638956 39.782180 16.259630
ZIDIL HHN ZIDIL CXY -0.050130 0.225359 39.782180 16.259630
ZIDIL HHZ ZIDIL CXZ -0.048005 0.219044 39.782180 16.259630
